membership	membership.1	membership.2	membership.3	membership.4	membership.5
TCGA-08-0521-01A-01R-0280-01	3	3	5	3	5	4
TCGA-08-0522-01A-01R-0280-01	1	1	3	1	1	1
TCGA-08-0524-01A-01R-0280-01	2	2	2	2	2	2
TCGA-08-0525-01A-01R-0280-01	3	3	5	3	5	4
TCGA-08-0529-01A-02R-0280-01	3	3	5	4	5	4
TCGA-08-0531-01A-01R-0280-01	3	3	5	4	5	4
TCGA-12-0616-01A-01R-0306-01	2	2	2	2	6	6
TCGA-12-0618-01A-01R-0306-01	2	4	2	2	2	2
TCGA-12-0619-01A-01R-0306-01	1	1	3	3	3	3
TCGA-12-0620-01A-01R-0306-01	1	1	3	3	3	3
TCGA-12-0654-01B-01R-0338-01	1	1	3	3	3	1
TCGA-12-0656-01B-01R-0338-01	3	3	5	4	5	4
TCGA-12-0657-01A-01R-0338-01	3	3	5	4	5	4
TCGA-12-0670-01B-01R-0389-01	2	4	4	4	4	5
TCGA-12-0688-01A-02R-0338-01	3	3	5	4	5	4
TCGA-12-0692-01A-01R-0338-01	3	2	5	3	3	2
TCGA-12-0703-01A-02R-0338-01	3	3	5	4	5	4
TCGA-12-0707-01A-01R-0338-01	3	3	4	4	4	5
TCGA-12-0772-01A-01R-0338-01	1	1	3	3	3	3
TCGA-12-0773-01A-01R-0338-01	1	1	1	1	1	6
TCGA-12-0775-01A-01R-0338-01	1	1	3	3	3	3
TCGA-12-0776-01A-01R-0338-01	1	1	3	5	3	3
TCGA-12-0778-01A-01R-0338-01	3	1	3	3	3	3
TCGA-12-0780-01A-01R-0338-01	3	3	5	3	5	4
TCGA-12-0818-01A-01R-0389-01	2	4	2	2	2	2
TCGA-12-0819-01A-01R-0389-01	2	4	4	4	4	7
TCGA-12-0820-01A-01R-0389-01	2	2	2	2	5	4
TCGA-12-0821-01A-01R-0389-01	2	2	4	4	4	5
TCGA-12-0822-01A-01R-0389-01	1	1	4	5	7	8
TCGA-12-0826-01A-01R-0389-01	3	3	4	4	4	7
TCGA-12-0827-01A-01R-0389-01	1	4	4	2	2	8
TCGA-12-0828-01A-01R-0389-01	3	3	5	4	4	5
TCGA-12-0829-01A-01R-0389-01	1	1	3	3	3	3
TCGA-12-1088-01A-01R-0522-01	1	1	2	3	3	3
TCGA-12-1089-01A-01R-0522-01	2	4	4	4	4	5
TCGA-12-1090-01A-01R-0522-01	3	3	1	1	4	5
TCGA-12-1091-01A-01R-0522-01	3	3	5	4	5	4
TCGA-12-1092-01B-01R-0522-01	1	1	3	5	3	3
TCGA-12-1093-01A-01R-0522-01	1	1	3	5	3	3
TCGA-12-1094-01A-01R-0522-01	3	3	5	3	5	4
TCGA-12-1095-01A-01R-0522-01	1	1	3	5	3	8
TCGA-12-1096-01A-01R-0522-01	1	1	3	5	3	8
TCGA-12-1097-01B-01R-0522-01	2	4	2	2	2	2
TCGA-12-1098-01C-01R-0522-01	3	3	5	4	5	4
TCGA-12-1099-01A-01R-0522-01	2	4	2	2	2	2
TCGA-12-1597-01B-01R-0916-01	2	4	2	2	2	2
TCGA-12-1598-01A-01R-0596-01	2	2	1	6	6	6
TCGA-12-1599-01A-01R-0596-01	3	3	3	3	3	3
TCGA-12-1600-01A-01R-0596-01	3	3	5	4	5	4
TCGA-12-1602-01A-01R-0596-01	2	4	2	2	2	2
TCGA-12-3644-01A-01R-0916-01	2	2	1	6	6	6
TCGA-12-3646-01A-01R-0916-01	2	2	2	2	6	6
TCGA-12-3648-01A-01R-0916-01	3	3	5	4	5	4
TCGA-12-3649-01A-01R-0916-01	3	3	5	4	4	4
TCGA-12-3650-01A-01R-0916-01	2	2	2	2	6	6
TCGA-12-3651-01A-01R-0916-01	2	4	4	2	2	2
TCGA-12-3652-01A-01R-0916-01	3	3	5	4	5	4
TCGA-12-3653-01A-01R-0916-01	3	3	5	4	5	4
TCGA-12-5295-01A-01R-1482-01	3	3	1	6	7	5
TCGA-12-5299-01A-02R-1482-01	3	3	5	3	5	4
TCGA-12-5301-01A-01R-1482-01	2	2	2	2	6	6
TCGA-14-0736-01A-01R-0522-01	1	1	3	5	3	5
TCGA-14-0783-01B-01R-0522-01	1	1	1	5	7	6
TCGA-14-0786-01B-01R-0522-01	3	3	5	4	5	4
TCGA-14-0787-01A-01R-0389-01	3	3	5	4	5	4
TCGA-14-0789-01A-01R-0389-01	1	1	3	3	3	3
TCGA-14-0790-01B-01R-0789-01	3	3	5	4	4	5
TCGA-14-0812-01B-01R-0596-01	1	4	4	6	7	7
TCGA-14-0813-01A-01R-0389-01	2	4	2	2	2	7
TCGA-14-0817-01A-01R-0389-01	1	1	1	5	7	5
TCGA-14-0865-01B-01R-0596-01	2	2	2	2	6	2
TCGA-14-0866-01B-01R-0596-01	3	3	5	4	5	4
TCGA-14-0867-01A-01R-0389-01	1	2	2	3	3	3
TCGA-14-0871-01A-01R-0389-01	2	2	1	1	1	1
TCGA-14-1034-01A-01R-0522-01	3	3	5	4	3	5
TCGA-14-1037-01A-01R-0596-01	1	1	3	5	3	3
TCGA-14-1396-01A-01R-0522-01	1	1	1	1	1	1
TCGA-14-1401-01A-01R-0522-01	2	4	2	2	2	2
TCGA-14-1402-01A-01R-0522-01	3	3	5	4	5	4
TCGA-14-1451-01A-01R-0522-01	2	4	2	2	2	2
TCGA-14-1452-01A-01R-0522-01	1	3	5	3	5	4
TCGA-14-1453-01A-01R-0522-01	3	2	1	6	6	6
TCGA-14-1454-01A-01R-0522-01	2	2	2	2	2	2
TCGA-14-1455-01A-01R-0596-01	2	2	2	2	2	2
TCGA-14-1456-01C-01R-0789-01	2	4	4	2	2	2
TCGA-14-1458-01A-01R-0596-01	2	4	4	2	2	7
TCGA-14-1459-01A-01R-0522-01	3	3	5	4	6	3
TCGA-14-1794-01A-01R-0596-01	2	2	2	3	3	2
TCGA-14-1795-01A-01R-0596-01	2	2	2	2	2	2
TCGA-14-1821-01A-01R-0596-01	2	2	2	2	2	2
TCGA-14-1823-01A-01R-0596-01	1	1	3	5	7	5
TCGA-14-1825-01A-01R-0596-01	2	4	2	2	2	2
TCGA-14-1827-01A-01R-0596-01	2	4	4	6	4	5
TCGA-14-1829-01A-01R-0596-01	1	1	4	5	7	5
TCGA-14-2554-01A-01R-0789-01	1	1	4	6	4	5
TCGA-14-2555-01B-01R-0916-01	3	3	5	4	5	4
