Country	Population	Birth Rate	Death Rate		GDP	GDP per capita	Imports	Exports	Inflation Rate
Kenya	39002772	36.64	9.72	5040000000	61650000000	1600	10690000000	5040000000	17
Kiribati	112850	30.2	7.85	17000000	580800000	5300	62000000	17000000	26.2
Korea, North	22665345	14.82	10.52	1684000000	40000000000	1800	3055000000	1684000000	NaN
Korea, South	48508972	8.93	5.94	433500000000	1338000000000	27700	427400000000	433500000000	0.2
Kosovo	1804838	NaN	NaN	NaN	5000000000	2300	NaN	NaN	4.7
Kuwait	2691158	21.81	2.35	86940000000	149500000000	57500	22940000000	86940000000	5.3
Kyrgyzstan	5431747	23.44	6.91	1847000000	11640000000	2200	3754000000	1847000000	10.6
Laos	6834942	33.94	10.78	1163000000	14010000000	2100	1384000000	1163000000	24.5
Latvia	2231503	9.78	13.62	9634000000	38950000000	17300	15650000000	9634000000	8.6
Lebanon	4017095	17.1	6.03	5023000000	44160000000	11100	16250000000	5023000000	15.4
Lesotho	2130819	24.14	22.2	956000000	3301000000	1600	1880000000	956000000	10
Liberia	3441790	42.25	20.73	1197000000	1531000000	500	7143000000	1197000000	10.7
Libya	6310434	25.15	3.45	64500000000	87720000000	14200	26550000000	64500000000	11.2
Liechtenstein	34761	9.75	7.39	NaN	4160000000	118000	NaN	NaN	10.4
Lithuania	3555179	9.11	11.18	23740000000	63370000000	17800	29300000000	23740000000	1
Luxembourg	491775	11.73	8.44	21430000000	39470000000	81200	27730000000	21430000000	10.9
Macau	559846	8.88	3.5	2000000000	18140000000	30000	5400000000	2000000000	3.4
Macedonia	2066718	11.97	8.83	3971000000	18830000000	9100	6523000000	3971000000	6.2
Madagascar	20653556	38.14	8.14	1254000000	20180000000	1000	2419000000	1254000000	8.3
Malawi	14268711	41.48	17.6	830000000	11950000000	800	1587000000	830000000	9.2
Malaysia	25715819	22.24	5.02	198700000000	385200000000	15200	154700000000	198700000000	8.7
Maldives	396334	14.55	3.65	113000000	1723000000	4500	1276000000	113000000	5.4
Mali	12666987	49.15	15.82	294000000	14750000000	1100	2358000000	294000000	12.8
Malta	405165	10.36	8.38	3060000000	9933000000	24600	4792000000	3060000000	2.5
Marshall Islands	64522	30.7	4.49	19400000	133500000	2500	79400000	19400000	4.3
Mauritania	3129486	34.11	9.16	1395000000	6323000000	2100	1475000000	1395000000	12.9
Mauritius	1284264	14.41	6.59	2400000000	15430000000	12100	4399000000	2400000000	7.3
Mayotte	223765	39.26	7.2	6500000	953600000	4900	341000000	6500000	9.7
Mexico	111211789	19.71	4.8	291300000000	1567000000000	14300	308600000000	291300000000	1.7
Micronesia, Federated States of	107434	23.1	4.46	14000000	238100000	2200	132700000	14000000	5.1
Moldova	4320748	11.12	10.78	1641000000	10800000000	2500	4870000000	1641000000	2.2
Monaco	32965	9.1	12.74	716300000	976300000	30000	916100000	716300000	12.8
Mongolia	3041142	21.05	6.12	2539000000	9499000000	3200	3615000000	2539000000	1.9
Montenegro	672180	11.14	8.63	171300000	6832000000	10100	601700000	171300000	28
Montserrat	5097	12.36	8.44	700000	29000000	3400	NaN	700000	3.4
Morocco	34859364	20.96	5.45	20170000000	137900000000	4500	39350000000	20170000000	2.6
Mozambique	21669278	37.98	20.07	2653000000	19110000000	900	3458000000	2653000000	3.8
Namibia	2108665	22.51	13.3	3167000000	13280000000	6400	3849000000	3167000000	10.3
Nauru	14019	23.9	6.42	64000	60000000	5000	20000000	64000	NaN
Nepal	28563377	23.18	6.97	868000000	31390000000	1100	3229000000	868000000	10.3
Netherlands	16715999	10.4	8.74	531700000000	673500000000	40500	474800000000	531700000000	7.7
Netherlands Antilles	227049	14.19	6.48	3710000000	2800000000	16000	15740000000	3710000000	2.5
New Caledonia	227436	17.04	5.68	1341000000	3158000000	15000	1998000000	1341000000	2.1
New Zealand	4213418	13.94	7.05	31190000000	116600000000	27900	32760000000	31190000000	1.4
Nicaragua	5891199	23.25	4.3	2675000000	16830000000	2900	4848000000	2675000000	4
Niger	15306252	51.6	14.83	428000000	10290000000	700	800000000	428000000	19.8
Nigeria	149229090	36.65	16.56	76030000000	336200000000	2300	46300000000	76030000000	0.1
Niue	1398	NaN	NaN	201400	10010000	5800	9038000	201400	11.6
Northern Mariana Islands	88662	18.77	2.32	98200000	900000000	12500	214400000	98200000	4
Norway	4660539	10.99	9.29	173600000000	276300000000	59500	85950000000	173600000000	-0.8
Oman	3418085	34.79	3.65	37720000000	66870000000	20200	20710000000	37720000000	3.8
Pakistan	176242949	27.62	7.68	21090000000	431200000000	2500	38190000000	21090000000	12.5
Palau	20796	11.2	7.89	5882000	164000000	8100	107300000	5882000	20.3
Panama	3360474	20.18	4.66	10290000000	38920000000	11800	15000000000	10290000000	2.7
Papua New Guinea	6057263	27.55	6.86	5719000000	13170000000	2300	3124000000	5719000000	8.8
Paraguay	6995655	28.17	4.46	7769000000	28950000000	4200	8809000000	7769000000	10.7
