ncbi-gi:10801585	hsa:10084
ncbi-gi:10801586	hsa:10084
ncbi-gi:10803735	hsa:3106
ncbi-gi:108250100	hsa:11112
ncbi-gi:108250116	hsa:170392
ncbi-gi:108250120	hsa:94103
ncbi-gi:108250126	hsa:56900
ncbi-gi:108250132	hsa:89970
ncbi-gi:108250148	hsa:30011
ncbi-gi:108250152	hsa:56924
ncbi-gi:108250154	hsa:57089
ncbi-gi:108250162	hsa:1843
ncbi-gi:108250164	hsa:80345
ncbi-gi:108250170	hsa:27161
ncbi-gi:108250176	hsa:57050
ncbi-gi:108250182	hsa:134218
ncbi-gi:108250190	hsa:57117
ncbi-gi:108250208	hsa:84285
ncbi-gi:108250212	hsa:56951
ncbi-gi:108250222	hsa:10412
ncbi-gi:108250224	hsa:84928
ncbi-gi:108250226	hsa:84298
ncbi-gi:108250234	hsa:57561
ncbi-gi:108250238	hsa:144348
ncbi-gi:108250240	hsa:11179
ncbi-gi:108250252	hsa:120534
ncbi-gi:108250292	hsa:57456
ncbi-gi:108250294	hsa:56943
ncbi-gi:108250312	hsa:51720
ncbi-gi:108250318	hsa:64802
ncbi-gi:108250328	hsa:127933
ncbi-gi:108250332	hsa:9235
ncbi-gi:108250336	hsa:64407
ncbi-gi:108250342	hsa:404672
ncbi-gi:108250364	hsa:353514
ncbi-gi:108250374	hsa:79689
ncbi-gi:108250382	hsa:29777
ncbi-gi:108250384	hsa:10409
ncbi-gi:108250390	hsa:55317
ncbi-gi:108250394	hsa:55111
ncbi-gi:108250396	hsa:54784
ncbi-gi:108250398	hsa:55142
ncbi-gi:108250402	hsa:123228
ncbi-gi:108250416	hsa:64946
ncbi-gi:108250432	hsa:55034
ncbi-gi:108250440	hsa:55809
ncbi-gi:108250446	hsa:11015
ncbi-gi:108250466	hsa:55128
ncbi-gi:108250478	hsa:27152
ncbi-gi:108250496	hsa:9457
ncbi-gi:108250502	hsa:7851
ncbi-gi:108250506	hsa:116068
ncbi-gi:108250518	hsa:80207
ncbi-gi:108250520	hsa:26575
ncbi-gi:108250542	hsa:84419
ncbi-gi:108250558	hsa:55237
