qsrank	schoolname	qsstars	overall	academic	employer	faculty	international	internationalstudents	citations	arts	engineering	life	natural	social
177	The Hong Kong Polytechnic University		50.10	58.4	13.3	40.3	100	82.2	36.5	21	24	13.4	10.9	19.3
178	Stockholm University		49.80	71.9	16.3	28.8	75.4	16	40.5	26.4	11.4	19.9	25.6	24.9
179	Vrije Universiteit Amsterdam		49.60	62.5	25	53.8	43.2	17.5	36.9	22.2	11.9	18.9	19.4	21.8
180	KTH, Royal Institute of Technology		49.60	51.7	26.9	56.3	66.5	84.5	32.1	8.5	31.2	9.3	23.7	7
181	University College Cork		49.50	49	55.9	49.5	94.5	51.5	31	16.6	13.3	18.2	14.2	14
182	Universität Frankfurt am Main		49.50	58.2	22.2	38.6	26.5	64.8	53.7	23.6	8.2	14.7	18.8	23.1
183	University of Bologna		49.40	81.9	37.9	26.6	13.7	20.1	24.2	36.5	19.3	17.2	25.7	27.6
184	University of Gothenburg		49.30	46.9	13.9	41.2	72.7	77.5	62.3	18.8	8.2	16.4	13.8	16.2
185	Waseda University		49.20	76.3	59.4	35.5	35.2	26.7	7.8	33.9	21.4	12.8	17.8	29.9
186	Nanjing University		49.00	70.6	16.9	43.2	47.2	6.2	34.3	23.5	17	15.2	28.7	21.8
186	University of Tsukuba		49.00	53.8	3.9	82.8	15.5	30.4	36.7	19.2	14.4	15.1	18.1	15.6
188	University of Science and Technology of China		49.00	62.4	11	56.6	5	1.5	51.9	9.2	26.5	17.3	32.5	8.7
188	Keio University		49.00	64.5	59.4	59.9	15	9	15.8	24.9	17.7	15.2	12	27.1
190	Korea University		49.00	70.8	27.4	58.4	15.3	17.3	18.5	26.1	15.9	17.2	19.6	27.7
191	Zhejiang University		48.80	66.6	35.1	36.7	17.1	7.8	45.4	19.1	27.3	14.7	22.7	16.3
192	University of Iowa		48.40	42.6	7	52.3	32.5	22.3	82.6	19.4	6.6	17.3	11.4	13.4
193	Queen's University of Belfast		48.30	40.4	55.9	57.9	98.6	43.3	34.8	16.2	12.3	12	11.4	13.4
194	Universitat Autónoma de Barcelona		48.20	71.2	13.2	34.9	17.8	33.9	39.4	24.1	14.9	16.3	26.5	25.3
195	University of Leicester		48.00	34.3	10.9	51.5	84.6	80.4	68.4	15.6	6.6	12.1	10.8	12.1
196	Université Libre de Bruxelles (ULB)		47.90	53	18.7	39.5	88.4	96.5	33.8	18.3	10.6	14.3	19.3	19
197	University of Antwerp		47.50	36.5	11.8	98.6	64.6	48.8	26.9	15.6	6.7	12.4	12	13.5
197	University of Sussex		47.50	48.8	7.3	38.1	92.7	82.6	49.6	23.6	7.8	10.9	11.9	21.9
199	University of Dundee		47.30	32.7	4	67.2	84.4	66.4	59.4	9.4	8.9	22.9	8.8	5.4
200	King Saud University		47.10	56.6	6.7	83.1	94.5	22.7	2.2	25.6	12.3	19.2	12.9	16.2
201	Sciences Po Paris		47.10	36.1	59.4	90.8	50.1	97.4	1.3	18.5	1.7	4.1	4.8	30.4
202	Chalmers University of Technology		46.80	45.5	27.8	46.9	52.1	74.9	45.7	7.2	26.4	6.3	21.3	10.5
203	Universität Hamburg		46.70	63.6	9.9	57.8	27.4	44.5	21.2	23.4	12.9	16.8	25.3	17.4
204	Vrije Universiteit Brussel (VUB)		46.40	38.8	35.9	81.4	23.9	53.2	31.3	14.1	11.8	10.6	13.7	13.1
205	Technische Universität Berlin		46.30	61.4	30.3	40.4	50.7	80.1	15.9	12.1	33.4	8.9	29	9.3
206	Université Paris-Sorbonne (Paris IV)		46.20	84.1	37.9	16.9	7.3	77.6	1.3	53.6	9.9	15.5	22.6	29.7
207	University of Exeter		46.20	40.1	55.9	31.6	86.8	90	42.4	23.6	6.5	9.4	9.7	15.7
208	Université Paris-Sud 11		46.10	46.7	1.6	54.9	47	63.2	49.6	8	17.6	14.5	30	3.1
209	Universität Stuttgart		46.00	45.4	26.9	77.2	39	81.1	14.1	12.4	25.2	7.6	20.1	6.2
210	Sapienza University of Rome		45.80	80.2	18.3	11.4	2.9	23.4	37.2	30.8	19.2	18.6	36.5	17.8
211	Macquarie University		45.60	53.1	55.9	11	88.3	99.6	31.7	23.6	8.9	15.1	17.1	16.9
212	University of Canterbury		45.50	50.3	59.4	20.1	100	77.4	28.2	17.9	19.6	8.4	16.9	15
213	Université Paris 1 Panthéon-Sorbonne		45.30	73.5	55.9	15.2	33.4	80.9	3.6	42.4	7.7	11.7	14.2	35
213	National Tsing Hua University		45.30	57.5	6.1	29.5	35.9	13.6	62.4	19.2	24.4	12.5	19.6	11.6
215	University of Reading		45.30	43.7	10.8	49.9	83.5	83.4	37.8	18.3	9.7	11.1	15.4	14.9
216	Indiana University Bloomington		45.20	56.6	37.9	26.2	18.7	33.8	50	31.8	6.6	12.9	11.8	23.1
217	University of Indonesia		45.10	59.2	55.9	65.8	26.5	4.6	1.4	23	13.3	17	14.2	22.2
218	Indian Institute of Technology Delhi (IITD)		45.10	54.5	59.4	36.5	1.2	1.7	45.2	7.3	31.1	11.9	21.5	11.6
220	Technion - Israel Institute of Technology		45.10	49.8	8.8	39.6	21.3	7.7	70.2	3.8	26.2	11.2	26.1	9.8
221	King Fahd University of Petroleum & Minerals		45.00	41.8	10.6	88.8	100	52.8	5	13.8	16.8	11.7	12.8	11.8
222	Universidad Autónoma de Madrid		44.90	65.4	25	17.4	11.6	16.1	52.6	22.6	10.8	18.7	26.8	19.4
223	University of Notre Dame		44.80	36	55.9	53.4	11	27.7	56.8	20.9	8.9	5.2	11	13.6
224	University of Turku		44.70	39.1	25.4	66.9	23.5	12.2	52.5	17.7	6.1	11.5	13	15.3
225	Indian Institute of Technology Bombay (IITB)		44.20	59.7	59.4	33.3	5	1.9	32.8	10.8	31.8	11.9	24.3	11.5
226	University of Twente		43.90	39.1	14.1	47.2	79.7	87.4	40.8	6.8	20.6	7.6	15.3	13.3
227	Université de Strasbourg		43.60	68.5	4.6	21.5	36	74.1	25.4	25.5	13.8	20.9	26.8	16
