Federal Research
Control	Institution	2009	2009_NationalRank	2009_ControlRank	2008	2008_NationalRank	2008_ControlRank	2007	2007_NationalRank	2007_ControlRank	2006	2006_NationalRank	2006_ControlRank	2005	2005_NationalRank	2005_ControlRank
Private	Princeton University	 125102 	76 	29 	 119171 	77 	29 	 117845 	79 	30 	 120042 	77 	30 	 111435 	76 	29 
Public	Purdue University - West Lafayette	 176592 	57 	34 	 165637 	60 	36 	 157438 	61 	37 	 150351 	63 	37 	 144090 	60 	36 
Private	Rensselaer Polytechnic Institute	 47109 	148 	45 	 48924 	143 	44 	 44690 	148 	46 	 42338 	151 	48 	 36651 	159 	49 
Private	Rice University	 54959 	135 	43 	 54301 	133 	42 	 53880 	131 	43 	 54735 	129 	42 	 51157 	131 	42 
Private	Rockefeller University	 81557 	112 	38 	 86728 	107 	38 	 93742 	100 	35 	 85552 	104 	38 	 82535 	101 	37 
Private	Rush University	 40942 	160 	47 	 39601 	162 	48 	 45044 	146 	45 	 49150 	138 	44 	 51706 	130 	41 
Public	Rutgers the State University of NJ - New Brunswick	 130932 	72 	45 	 125364 	74 	46 	 118732 	77 	48 	 122472 	73 	45 	 114503 	73 	46 
Private	Saint Louis University - St. Louis	 49434 	147 	44 	 47704 	146 	46 	 45183 	145 	44 	 44757 	144 	46 	 36989 	158 	48 
Private	Scripps Research Institute	 265657 	33 	16 	 267073 	29 	15 	 268533 	29 	15 	 272969 	28 	13 	 236989 	31 	14 
Private	Stanford University	 509477 	4 	2 	 534787 	4 	2 	 540069 	4 	2 	 574675 	3 	2 	 541667 	3 	2 
Public	Stony Brook University	 106419 	94 	59 	 111241 	84 	54 	 112973 	82 	52 	 125781 	71 	44 	 123124 	68 	43 
Public	Temple University	 58686 	130 	88 	 54452 	132 	91 	 50904 	135 	92 	 53987 	131 	89 	 50456 	133 	91 
Public	Texas A&M University	 245607 	38 	19 	 228363 	42 	21 	 206242 	47 	25 	 212923 	43 	23 	 173705 	52 	31 
