Identifier 	 AJ_8w_1	 AJ_8w_2	 AJ_8w_3	 C57_8w_1	 C57_8w_2	 C57_8w_3	
ENSMUSG00000042379	66.99684	56.025	46.34829	380.23788	108.612236	353.60657	
ENSMUSG00000015189	365.84604	634.0658	452.1813	468.33972	453.40894	494.7729	
ENSMUSG00000025268	36.500526	34.583157	41.185528	74.45974	29.603157	32.387104	
ENSMUSG00000048756	1807.7284	1553.9877	1759.987	2257.842	2352.2126	1961.9182	
ENSMUSG00000019737	167.96132	87.01513	151.49158	349.6291	40.333817	331.34393	
ENSMUSG00000003617	73039.945	69877.664	75893.305	43351.88	52393.598	59167.33	
ENSMUSG00000024948	397.37527	370.61765	414.3434	433.19736	485.92053	219.89632	
ENSMUSG00000028464	155.01631	298.83527	234.62973	823.71106	565.6455	380.39526	
ENSMUSG00000047617	519.39685	372.72028	583.6116	320.26474	319.42316	415.05054	
ENSMUSG00000021326	56.901318	46.36763	37.66237	29.161842	108.17237	24.718946	
ENSMUSG00000039092	51.04079	87.58053	84.09026	49.426052	87.661575	50.73276	
ENSMUSG00000063359	36.080524	35.751446	31.613026	46.193554	47.241055	33.662895	
ENSMUSG00000028766	219.15224	292.39578	246.68027	170.36948	450.5337	305.13474	
ENSMUSG00000006676	366.55237	247.08644	178.34895	329.09158	106.40895	145.5346	
ENSMUSG00000030499	264.4116	398.11078	203.12315	473.0555	334.00238	494.3158	
ENSMUSG00000030091	1324.8413	1257.8761	978.09576	1185.9961	1283.86	830.715	
ENSMUSG00000032254	42.83579	41.46263	50.543423	99.411575	84.36842	57.58684	
ENSMUSG00000071662	878.75604	974.3687	805.08765	849.9639	484.1529	708.71265	
ENSMUSG00000027684	50.879738	51.296974	51.343422	45.21263	64.75303	53.955788	
ENSMUSG00000036902	40.832367	36.044212	19.878422	44.744473	29.26158	18.186052	
ENSMUSG00000053043	37.80079	63.34816	34.782104	69.29605	55.188683	103.484474	
ENSMUSG00000030638	28.288816	37.13684	47.123817	49.13842	49.98908	42.29987	
ENSMUSG00000047030	43.266052	32.39816	62.39816	86.965	113.21737	42.35658	
ENSMUSG00000015579	396.775	309.89053	500.67526	330.97604	346.29895	1325.505	
ENSMUSG00000041645	194.08263	179.32553	153.8608	167.32158	296.4054	133.88803	
ENSMUSG00000024069	347.0829	577.89685	347.0058	296.03317	223.52237	498.41342	
ENSMUSG00000024248	5383.642	4683.8525	5865.945	4413.4395	4605.3354	5333.9126	
ENSMUSG00000031872	54.428684	42.10342	69.29605	35.62816	50.856052	51.653683	
ENSMUSG00000071489	25.12	48.398422	34.569473	52.8	45.98816	58.39908	
ENSMUSG00000027770	41.136974	38.37592	52.19066	35.873947	30.735527	32.593685	
ENSMUSG00000057948	55.254868	57.80158	37.032894	52.871975	30.648947	70.01342	
ENSMUSG00000028478	58.97763	30.39763	56.14816	187.44185	114.61658	60.163025	
ENSMUSG00000030114	34.85092	43.787106	40.11763	34.33013	63.080524	34.210526	
ENSMUSG00000026418	77.30803	59.35079	39.566578	32.91421	61.893158	80.502235	
ENSMUSG00000001911	1160.7803	1326.055	855.0239	1208.3442	1195.956	1486.5824	
ENSMUSG00000003549	360.79605	429.0058	237.41211	203.93895	131.22052	221.21684	
ENSMUSG00000039741	27.863947	36.664078	28.46579	59.31842	170.10052	39.875656	
ENSMUSG00000048377	63.409473	29.51421	61.020393	22.05842	37.214737	37.423027	
ENSMUSG00000041057	755.21234	941.91187	1075.1364	959.98157	983.8503	1060.5371	
ENSMUSG00000054568	137.98158	240.24263	214.46974	69.45421	48.467632	47.949738	
ENSMUSG00000023045	397.63422	328.69315	230.51263	271.60184	311.09604	580.8766	
ENSMUSG00000052684	3833.2004	2364.7166	4586.426	3321.4417	3545.198	2358.6985	
ENSMUSG00000076533	195.03105	176.8071	222.27843	130.53447	96.680786	91.53553	
